Support Cluster,Support Item,Support Item Ref No,Support Item Description,Unit of Measure,Quote Required,List Price,Support Categories,Support Category Number
Accommodation/Tenancy,assistance with accommodation and tenancy obligations,01 001,"Support is provided to guide, prompt, or undertake activities to ensure the participant obtains/retains appropriate accommodation. May include assisting to apply for a rental tenancy or to undertake tenancy obligations.",Hour,N,$55.50 ,Improved living arrangements,8
Accommodation/Tenancy,transitional support,01 003,Transition to NDIS funding – payment of rent and utility accounts. Short term payment as per participant plan,Each,Y,$1.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Access/Maintain Employ,Employment related assessment and counselling,02 005,Workplace assessment conducted by workplace rehabilitation provider to determine adjustments or modifications to workplace or work processes to ensure employment is maintained and matches the employees capabilities,Hour,N,$172.13 ,Finding and keeping a job,10
Assist Access/Maintain Employ,assistance in specialised supported employment Level 1 DMI,03 002,Provision of Level One ongoing on- the- job support to enable a participant to maintain/retain supported employment. Pricing guidance is weekly.,Each,N,$83.08 ,Finding and keeping a job,10
Assist Access/Maintain Employ,assistance in specialised supported employment Level 2 DMI,03 003,Provision of Level Two ongoing on- the- job support to enable a participant to maintain/retain supported employment. Pricing guidance is weekly.,Each,N,$140.77 ,Finding and keeping a job,10
Assist Access/Maintain Employ,assistance in specialised supported employment Level 3 DMI,03 004,Provision of Level Three ongoing on- the- job support to enable a participant to maintain/retain supported employment. Pricing guidance is weekly.,Each,N,$211.15 ,Finding and keeping a job,10
Assist Access/Maintain Employ,assistance in specialised supported employment Level 4 DMI,03 005,Provision of Level Four ongoing on- the- job support to enable a participant to maintain/retain supported employment. Pricing guidance is weekly.,Each,N,$280.38 ,Finding and keeping a job,10
Assist Access/Maintain Employ,individual employment support,03 007,"Time limited on-the-job training & post placement support related to participant’s disability that enables them to adjust & manage demands of the job & workplace environment, & to assist employers to successfully manage the participant's placement.",Hour,N,$54.46 ,Finding and keeping a job,10
Assist Access/Maintain Employ,employment preparation and support in a group,03 010,"In a group setting, build capacity by providing skills training such as transport, time/financial management, self-care to support a participant to get a job post school. *assumes group of 3",Hour,N,$18.16 ,Finding and keeping a job,10
Assist Access/Maintain Employ,supported employment start-up fee (ADE),03 012,"Supported employment administrative start-up fee paid, paid once only when a Participant starts with an ADE",Each,N,$610.00 ,Finding and keeping a job,10
Assist Access/Maintain Employ,support in employment (ADE),03 018,"Assistance to gain and maintain employment in ADEs, through on-the-job support, training, employer advice and assistance in transitioning from ADE. Price guidance is weekly.",Hour,N,$107.77 ,Finding and keeping a job,10
Assist Prod-Pers Care/Safety,other adapted furniture,04 18 09 01,"includes therapy cushions, conductive education furniture, hand grips mounted on furniture etc",Each,Y,$50.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,"cooling vest- small, medium, large",04 30 06 00,vest used for people with thermoregulatory problems,Each,N,$120.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,pressure mattress air filled section,04 33 06 01,,Each,Y,$680.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,pressure reduction mattress,04 33 06 03,mattress with pressure reduction properties,Each,Y,$650.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,pressure reduction overlay,04 33 06 04,"overlay with air or other substance, mechanical or not",Each,Y,"$2,550.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,pressure mattress continuous air loss,04 33 06 05,"Mattress for very complex needs, usually for participants in bed for most of the day and night.",Each,Y,"$11,000.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,water chairs,04 33 18 09,chairs with full pressure relief via water filled inserts,Each,Y,"$2,000.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,standing frame- child under 5,04 48 08 01,apparatus to hold a person in a standing position,Each,Y,$600.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,standing frame child over 5 or teen,04 48 08 02,apparatus to hold a person in a standing position,Each,Y,"$3,100.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,standing frame adult,04 48 08 03,apparatus to hold a person in a standing position,Each,Y,"$3,100.00 ",Assistive technology,5
Assist-Integrate School/Ed,specialised transport to school/educational facility/employment/community,05 003,Transport required to get a person with disability to school/educational facility/employment/community when they are unable to travel by other means due to their disability,Day,Y,$1.00 ,Transport to access daily activities,2
Assist-Integrate School/Ed,transition through school and to further education,05 004,"Provision of skills training, advice, assistance with arrangements, orientation to assist a person with disability moving from school to further education",Hour,N,$55.50 ,Improved learning,13
Assist Prod-Pers Care/Safety,incontinence alarms,05 09 03 00,buzzer or similar used in continence training,Each,Y,$25.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,hand splints,06 06 06 00,hand splints provided as part of a shorter term therapy program,Each,Y,$125.00 ,Assistive technology,5
Personal Mobility Equipment,therapeutic body splints,06 06 06 03,Lycra or other splints designed to improve functioning.,Each,Y,$250.00 ,Assistive technology,5
Personal Mobility Equipment,custom foot supports,06 12 03 01,Foot supports or restraints for a wheelchair where conventional supports do not suffice.,Each,Y,$200.00 ,Assistive technology,5
